epoch,loss
0,0.07234934717416763
1,0.01730073057115078
2,0.013583162799477577
3,0.01044826302677393
4,0.01025537308305502
5,0.009860387071967125
6,0.009722032584249973
7,0.0077056800946593285
8,0.006976284086704254
9,0.007321562152355909
10,0.007562343031167984
11,0.006929919123649597
12,0.00731079513207078
13,0.006856220308691263
14,0.00673859566450119
15,0.0062093958258628845
16,0.005802085157483816
17,0.005959517788141966
18,0.006515795830637217
19,0.006487783044576645
20,0.005950578488409519
21,0.005380137823522091
22,0.005212809424847364
23,0.0049883462488651276
24,0.0051750000566244125
25,0.0050718337297439575
26,0.0046349200420081615
27,0.004962115548551083
28,0.004400743171572685
29,0.00497894873842597
30,0.005197861697524786
31,0.00442604860290885
32,0.004777191672474146
33,0.004779609385877848
34,0.005992555059492588
35,0.005526082124561071
36,0.004918653052300215
37,0.004686025436967611
38,0.004088352434337139
39,0.004385328385978937
40,0.004579772241413593
41,0.0048155575059354305
42,0.004728653933852911
43,0.004429949447512627
44,0.0047837719321250916
45,0.004731925670057535
46,0.004115067422389984
47,0.004428190179169178
48,0.004525152500718832
49,0.004328630398958921
