epoch,loss
0,0.0575704500079155
1,0.024611782282590866
2,0.014785329811275005
3,0.01391537580639124
4,0.011738119646906853
5,0.010221893899142742
6,0.009642885066568851
7,0.008735609240829945
8,0.008642294444143772
9,0.007536814548075199
10,0.007381468545645475
11,0.007282187230885029
12,0.007641633972525597
13,0.006316981744021177
14,0.006246364675462246
15,0.006119813770055771
16,0.005839909892529249
17,0.005942761432379484
18,0.005698090419173241
19,0.005384217016398907
20,0.005468737334012985
21,0.005628823768347502
22,0.00566663034260273
23,0.0046988376416265965
24,0.0049612028524279594
