,"file_name: layers, epoch, batch",mse_scaled,mse_unscaled,overall_time
0,Stats_MSFT_3_10_100,865.8141864972818,0.16876511313410025,12.024469999999999
1,Stats_MSFT_3_10_200,1073.1063321693337,0.20917064837464738,9.314363999999973
2,Stats_MSFT_3_25_100,2044.0166180097465,0.3984211850519075,22.705056000000006
3,Stats_MSFT_3_25_200,1629.2076087624523,0.3175663114322626,16.873949000000003
4,Stats_MSFT_3_50_100,3252.212511251874,0.6339236126907656,41.13341599999998
5,Stats_MSFT_3_50_200,3282.5810654466504,0.6398430735032365,28.92984199999998
6,Stats_MSFT_5_10_100,5435.024813719751,1.059398983715091,19.025918999999988
7,Stats_MSFT_5_10_200,6355.623885563235,1.238842829491011,14.903504000000027
8,Stats_MSFT_5_25_100,5667.891139949807,1.1047894651614625,37.89237300000002
9,Stats_MSFT_5_25_200,5355.560576846539,1.0439097578751402,26.86378899999997
10,Stats_MSFT_5_50_100,6057.743980392191,1.180779862957785,67.81582799999998
11,Stats_MSFT_5_50_200,5952.378636248627,1.1602419731170877,47.34505999999999
