epoch,loss
0,0.04896186292171478
1,0.01849985681474209
2,0.013257011771202087
3,0.01148618757724762
4,0.00967636052519083
5,0.00895426981151104
6,0.008167898282408714
7,0.007837631739675999
8,0.006900979205965996
9,0.00710983294993639
10,0.006382171995937824
11,0.0069727650843560696
12,0.0071069602854549885
13,0.006366371177136898
14,0.006291528698056936
15,0.005481318105012178
16,0.005401130300015211
17,0.006382089573889971
18,0.005665278062224388
19,0.005592524539679289
20,0.0059327841736376286
21,0.005930960178375244
22,0.005980267189443111
23,0.005859461147338152
24,0.0059691863134503365
