epoch,loss
0,0.06524983793497086
1,0.017794068902730942
2,0.013378224335610867
3,0.010699237696826458
4,0.00964324176311493
5,0.008852403610944748
6,0.007288408000022173
7,0.006770535837858915
8,0.0063492851331830025
9,0.006157247349619865
10,0.005783932749181986
11,0.005937812849879265
12,0.005563708953559399
13,0.005230192095041275
14,0.005827502813190222
15,0.005824880674481392
16,0.006332792807370424
17,0.005314548499882221
18,0.00467928359284997
19,0.00479702977463603
20,0.0045273746363818645
21,0.005313834175467491
22,0.004053412936627865
23,0.0058191451244056225
24,0.005098994355648756
