,"file_name: layers, epoch, batch",mse_scaled,mse_unscaled,overall_time
0,Stats_MSFT_3_10_100,1357.8762881056293,0.26467821284841725,12.166868000000015
1,Stats_MSFT_3_10_200,252.7599047218704,0.04926813280630638,9.35720399999995
2,Stats_MSFT_3_25_100,1165.9247029534365,0.2272628717231898,22.624337000000015
3,Stats_MSFT_3_25_200,2540.8464933414184,0.49526362588096656,17.398645000000045
4,Stats_MSFT_3_50_100,4963.248238221127,0.9674399563325461,42.08990700000003
5,Stats_MSFT_3_50_200,4846.945683919491,0.9447701752943312,29.942985000000036
6,Stats_MSFT_5_10_100,2568.6369698482376,0.5006805672723191,18.388114
7,Stats_MSFT_5_10_200,3920.0664966914733,0.7641021985560204,14.964437000000004
8,Stats_MSFT_5_25_100,5351.612510195229,1.0431401977475365,36.998301000000026
9,Stats_MSFT_5_25_200,5673.496462290041,1.1058820560374756,28.267836000000045
10,Stats_MSFT_5_50_100,3621.974922743995,0.7059979710510295,67.50149300000001
11,Stats_MSFT_5_50_200,3791.551139848984,0.7390518957568517,49.696822999999995
